id,ime,gorovje,visina,ogledi,priljubljenost,stevilo_poti
1739,Sveta Lucija nad Studenicami,"Pohorje, Dravinjske gorice in Haloze",290,155481,59,3
1740,Dvorec Štatenberg,"Pohorje, Dravinjske gorice in Haloze",289,40,1,1
1741,Pivola (Botanični vrt Univerze v Mariboru),"Pohorje, Dravinjske gorice in Haloze",270,130,9,1
1742,Tošč,Polhograjsko hribovje in Ljubljana,1021,740621,98,13
1743,Pasja ravan,Polhograjsko hribovje in Ljubljana,1020,595521,95,4
1744,Goli vrh,Polhograjsko hribovje in Ljubljana,962,338993,77,2
1745,Sivka,Polhograjsko hribovje in Ljubljana,934,445165,86,7
1746,Mlaka,Polhograjsko hribovje in Ljubljana,914,258204,69,2
1747,Javorč,Polhograjsko hribovje in Ljubljana,901,349538,78,3
1748,Polhograjska Grmada,Polhograjsko hribovje in Ljubljana,898,867804,99,16
1749,Gontarska planina,Polhograjsko hribovje in Ljubljana,894,417889,84,2
1750,Lavrovec,Polhograjsko hribovje in Ljubljana,890,302618,73,1
1751,Sveti Lenart,Polhograjsko hribovje in Ljubljana,861,387191,81,1
1752,Sveti Ožbolt (nad Zmincem),Polhograjsko hribovje in Ljubljana,859,417441,84,4
1753,Osolnik,Polhograjsko hribovje in Ljubljana,858,641973,96,12
1754,Mala Grmada,Polhograjsko hribovje in Ljubljana,853,308860,74,4
1755,Bukov vrh,Polhograjsko hribovje in Ljubljana,832,404078,83,2
1756,Polhograjska Gora (Sveti Lovrenc),Polhograjsko hribovje in Ljubljana,824,574404,94,9
1757,Veliki hrib,Polhograjsko hribovje in Ljubljana,815,214678,65,1
1758,Goljek,Polhograjsko hribovje in Ljubljana,809,284635,72,4
1759,Sveti Jakob,Polhograjsko hribovje in Ljubljana,806,715627,98,14
1760,Marinčeva planina (Hrib),Polhograjsko hribovje in Ljubljana,805,232388,67,2
1761,Sveti Andrej (Planina nad Horjulom),Polhograjsko hribovje in Ljubljana,798,339568,77,2
1762,Rog,Polhograjsko hribovje in Ljubljana,798,354845,78,10
1763,Kožljek,Polhograjsko hribovje in Ljubljana,788,376128,81,4
1764,Brunarica Osovnik,Polhograjsko hribovje in Ljubljana,777,450050,87,6
1765,Jeterbenk,Polhograjsko hribovje in Ljubljana,774,505498,91,10
1766,Stražni stolp pod vrhom Kovčka,Polhograjsko hribovje in Ljubljana,770,4171,40,1
1767,Sveta Jedert,Polhograjsko hribovje in Ljubljana,750,314341,75,2
1768,Sveta Katarina (Topol),Polhograjsko hribovje in Ljubljana,738,643081,96,9
1769,Dom na Govejku,Polhograjsko hribovje in Ljubljana,730,563421,94,2
1770,Koreno,Polhograjsko hribovje in Ljubljana,729,469477,88,10
1771,Jermanca (Jermancov grič),Polhograjsko hribovje in Ljubljana,728,4750,41,1
1772,Hom,Polhograjsko hribovje in Ljubljana,715,487279,90,4
1773,Mali vrh,Polhograjsko hribovje in Ljubljana,708,331795,76,3
1774,Kucelj nad Polhovim Gradcem,Polhograjsko hribovje in Ljubljana,705,7739,44,3
1775,Sveta Uršula (Setnica),Polhograjsko hribovje in Ljubljana,700,295570,73,2
1776,Kregovnik,Polhograjsko hribovje in Ljubljana,692,180363,61,1
1777,Sveta Ana (Butajnova),Polhograjsko hribovje in Ljubljana,686,275702,71,1
1778,Sveti Florijan (Tehovec),Polhograjsko hribovje in Ljubljana,685,263548,70,4
1779,Grmada,Polhograjsko hribovje in Ljubljana,676,607035,96,18
1780,Dominov dom,Polhograjsko hribovje in Ljubljana,670,286615,72,1
1781,Šmarna gora,Polhograjsko hribovje in Ljubljana,669,916709,99,23
1782,Kugelč (Šentjošt nad Horjulom),Polhograjsko hribovje in Ljubljana,666,258215,69,2
1783,Sveti Mihael na Samotorici,Polhograjsko hribovje in Ljubljana,665,186846,62,1
1784,Domačija Pr Lenart (Belo),Polhograjsko hribovje in Ljubljana,650,218590,65,2
1785,Breznik (Boben),Polhograjsko hribovje in Ljubljana,643,3440,38,2
1786,Rašica (Vrh Staneta Kosca),Polhograjsko hribovje in Ljubljana,641,766146,98,14
1787,Sveta Barbara (nad Hrastnico),Polhograjsko hribovje in Ljubljana,629,3290,37,1
1788,Ključ,Polhograjsko hribovje in Ljubljana,623,355993,79,4
1789,Sveti Andrej (nad Zmincem),Polhograjsko hribovje in Ljubljana,617,6761,43,2
1790,Vrhe nad Dobrovo,Polhograjsko hribovje in Ljubljana,603,192438,63,2
1791,Visoki hrib,Polhograjsko hribovje in Ljubljana,602,196724,63,2
1792,Toško Čelo,Polhograjsko hribovje in Ljubljana,590,627511,96,6
1793,Sveti Urban (nad Gorenjo Dobravo),Polhograjsko hribovje in Ljubljana,570,2150,33,2
1794,Veliki vrh (Rašica),Polhograjsko hribovje in Ljubljana,568,313333,75,1
1795,Sveti Martin nad Brišami,Polhograjsko hribovje in Ljubljana,567,168065,60,1
1796,Sveti Jurij (Praproče),Polhograjsko hribovje in Ljubljana,552,2230,33,1
1797,Partizanski dom na Ključu,Polhograjsko hribovje in Ljubljana,550,326811,76,4
1798,Gradišče nad Žažarjem,Polhograjsko hribovje in Ljubljana,547,3392,38,2
1799,Vrh (Debeli hrib),Polhograjsko hribovje in Ljubljana,540,278785,71,7
1800,Gradišče (nad Dobrovo),Polhograjsko hribovje in Ljubljana,530,8430,44,2
1801,Planinski dom na Ravneku,Polhograjsko hribovje in Ljubljana,522,257042,69,1
1802,Smledniški hrib (Stari grad),Polhograjsko hribovje in Ljubljana,517,495578,90,5
1803,Vrhovčev grič,Polhograjsko hribovje in Ljubljana,495,1130,28,5
1804,Sveta Marjeta pod Jeterbenkom,Polhograjsko hribovje in Ljubljana,482,295862,73,3
1805,Bezenica,Polhograjsko hribovje in Ljubljana,476,139807,57,1
1806,Strmca,Polhograjsko hribovje in Ljubljana,472,180151,61,7
1807,Koseški hrib,Polhograjsko hribovje in Ljubljana,467,8910,45,5
1808,Kalvarija,Polhograjsko hribovje in Ljubljana,460,358496,79,2
1809,Gradišče (Zapoški hrib),Polhograjsko hribovje in Ljubljana,451,4220,40,1
1810,Strmec (nad Dragomerom),Polhograjsko hribovje in Ljubljana,446,968,26,2
1811,Debeli vrh (nad Topolami),Polhograjsko hribovje in Ljubljana,446,4330,40,3
1812,Klobuk pri Ljubljani,Polhograjsko hribovje in Ljubljana,441,58356,49,2
1813,Stražni vrh,Polhograjsko hribovje in Ljubljana,439,6569,43,1
1814,Koča Klobuk,Polhograjsko hribovje in Ljubljana,433,16172,46,3
1815,Mengeška koča na Gobavici,Polhograjsko hribovje in Ljubljana,433,462990,88,7
1816,Šišenski hrib (Rožnik),Polhograjsko hribovje in Ljubljana,429,445498,86,3
1817,Sveti Urh (nad Zaklancem),Polhograjsko hribovje in Ljubljana,420,356130,79,3
1818,Sveti Tilen nad Repnjami,Polhograjsko hribovje in Ljubljana,419,7526,44,1
1819,Sveti Jurij (Hruševo),Polhograjsko hribovje in Ljubljana,414,3351,37,1
1820,Severjev grič,Polhograjsko hribovje in Ljubljana,401,407,18,1
1821,Ferjanka,Polhograjsko hribovje in Ljubljana,399,3480,38,3
1822,Slavkov dom na Golem brdu,Polhograjsko hribovje in Ljubljana,396,427043,85,2
1823,Straža,Polhograjsko hribovje in Ljubljana,395,185609,62,2
1824,Cankarjev vrh (Rožnik),Polhograjsko hribovje in Ljubljana,394,557096,94,4
1825,Sveti križ na Hribcu,Polhograjsko hribovje in Ljubljana,380,160134,59,1
1826,Blagajev grad (Polhograjska graščina),Polhograjsko hribovje in Ljubljana,377,3911,39,1
1827,Ljubljanski grad,Polhograjsko hribovje in Ljubljana,376,472056,89,5
1828,Liparjev grič,Polhograjsko hribovje in Ljubljana,374,1240,28,3
1829,Tabor (nad Črnučami),Polhograjsko hribovje in Ljubljana,370,737,24,1
1830,Mlinčki,Polhograjsko hribovje in Ljubljana,340,6590,43,2
1831,Mostec,Polhograjsko hribovje in Ljubljana,316,6641,43,1
1832,Grad Jablje,Polhograjsko hribovje in Ljubljana,310,2000,32,1
1833,Koseški bajer,Polhograjsko hribovje in Ljubljana,307,395189,82,2
1834,Kum,Posavsko hribovje in Dolenjska,1220,853485,99,10
1835,Črni vrh (Čemšeniška planina),Posavsko hribovje in Dolenjska,1204,624039,96,16
1836,Trdinov vrh,Posavsko hribovje in Dolenjska,1178,674776,97,3
1837,Javor,Posavsko hribovje in Dolenjska,1132,416999,84,6
1838,Mrzlica,Posavsko hribovje in Dolenjska,1122,779407,98,16
1839,Koča na Čemšeniški planini,Posavsko hribovje in Dolenjska,1120,644304,96,15
1840,Veliki Rog,Posavsko hribovje in Dolenjska,1099,368008,80,2
1841,Gozdnik,Posavsko hribovje in Dolenjska,1090,482019,89,9
1842,Homič,Posavsko hribovje in Dolenjska,1082,1430,29,8
1843,Ledenik,Posavsko hribovje in Dolenjska,1072,11550,45,3
1844,Sveta Marija (Ključevica),Posavsko hribovje in Dolenjska,1067,11950,46,4
1845,Mirna gora,Posavsko hribovje in Dolenjska,1047,625321,96,4
1846,Slovenski vrh,Posavsko hribovje in Dolenjska,1041,12660,46,3
1847,Mestni vrh,Posavsko hribovje in Dolenjska,1034,396903,82,2
1848,Veliki Javornik (Bohor),Posavsko hribovje in Dolenjska,1023,542722,93,10
1849,Sveta planina (Partizanski vrh),Posavsko hribovje in Dolenjska,1011,479829,89,7
1850,Požgani hrib,Posavsko hribovje in Dolenjska,1009,263104,70,2
1851,Dom na Mirni gori,Posavsko hribovje in Dolenjska,1000,472174,89,4
1852,Livoldski vrh,Posavsko hribovje in Dolenjska,994,203776,64,2
1853,Veliko Kozje,Posavsko hribovje in Dolenjska,993,469623,88,5
1854,Kal (Kalski hrib),Posavsko hribovje in Dolenjska,985,484754,90,5
1855,Koprivnik (Bohor),Posavsko hribovje in Dolenjska,984,294666,73,7
1856,Grad Fridrihštajn,Posavsko hribovje in Dolenjska,970,407651,83,2
1857,Stene svete Ane,Posavsko hribovje in Dolenjska,964,353999,78,8
1858,Dom pri Miklavžu,Posavsko hribovje in Dolenjska,964,471135,89,1
1859,Nebeška gora,Posavsko hribovje in Dolenjska,958,428290,85,4
1860,Špilk,Posavsko hribovje in Dolenjska,956,363981,79,3
1861,Gače,Posavsko hribovje in Dolenjska,955,388676,82,1
1862,Skalica (Bohor),Posavsko hribovje in Dolenjska,951,264305,70,7
1863,Lisca,Posavsko hribovje in Dolenjska,948,775683,98,14
1864,Planinski dom na Kalu,Posavsko hribovje in Dolenjska,946,384535,81,5
1865,Malič,Posavsko hribovje in Dolenjska,936,413649,84,8
1866,Mala Lisca,Posavsko hribovje in Dolenjska,934,1020,27,2
1867,Ješivec,Posavsko hribovje in Dolenjska,934,1180,28,4
1868,Zaloška gora,Posavsko hribovje in Dolenjska,930,330,16,1
1869,Roviškovec,Posavsko hribovje in Dolenjska,930,235057,67,3
1870,Reška planina,Posavsko hribovje in Dolenjska,925,354573,78,6
1871,Debeli vrh (Bohor),Posavsko hribovje in Dolenjska,921,186784,62,5
1872,Plešivec (Bohor),Posavsko hribovje in Dolenjska,915,1800,31,5
1873,Petrova skala na Bohorju,Posavsko hribovje in Dolenjska,913,1910,32,5
1874,Adijev bivak na Reški planini,Posavsko hribovje in Dolenjska,910,1520,30,6
1875,Koča pri Sveti Ani na Mali gori,Posavsko hribovje in Dolenjska,910,459554,88,8
1876,Kopitnik,Posavsko hribovje in Dolenjska,910,583810,95,6
1877,Krvavica,Posavsko hribovje in Dolenjska,909,498298,90,2
1878,Planinski dom Vrhe,Posavsko hribovje in Dolenjska,908,310153,74,6
1879,Koča na Bohorju,Posavsko hribovje in Dolenjska,896,474144,89,8
1880,Grmada (Bohor),Posavsko hribovje in Dolenjska,890,3880,39,1
1881,Klobuk,Posavsko hribovje in Dolenjska,890,383976,81,4
1882,Sveti Peter,Posavsko hribovje in Dolenjska,888,445276,86,3
1883,Grmada na Mali gori,Posavsko hribovje in Dolenjska,887,372081,80,8
1884,Naravno bohorsko okno,Posavsko hribovje in Dolenjska,883,1990,32,5
1885,Slivna (Pivkelj),Posavsko hribovje in Dolenjska,880,325909,76,5
1886,Reber,Posavsko hribovje in Dolenjska,878,247701,68,3
1887,Pleše,Posavsko hribovje in Dolenjska,866,227544,66,4
1888,Koča na Kopitniku,Posavsko hribovje in Dolenjska,865,403246,83,5
1889,Kamnik,Posavsko hribovje in Dolenjska,861,412729,84,4
1890,Oslica (Bohor),Posavsko hribovje in Dolenjska,860,189404,62,7
1891,Ostrež,Posavsko hribovje in Dolenjska,856,357167,79,1
1892,Ostri vrh,Posavsko hribovje in Dolenjska,855,331801,77,4
1893,Zasavska Sveta gora,Posavsko hribovje in Dolenjska,852,602657,95,9
1894,Koča pri Jelenovem studencu,Posavsko hribovje in Dolenjska,850,404864,83,2
1895,Lipovec,Posavsko hribovje in Dolenjska,848,212089,64,1
1896,Strtnik (Strnik),Posavsko hribovje in Dolenjska,845,374,17,1
1897,Lovski dom Bohor,Posavsko hribovje in Dolenjska,842,1630,30,1
1898,Sv. Primož in Felicijan (Razbor pri Čemšeniku),Posavsko hribovje in Dolenjska,841,3040,36,3
1899,Ledena jama na Stojni,Posavsko hribovje in Dolenjska,840,281259,71,1
1900,Cicelj,Posavsko hribovje in Dolenjska,836,419869,84,7
1901,Tolsti vrh nad Celjsko kočo,Posavsko hribovje in Dolenjska,834,453828,87,14
1902,Golava,Posavsko hribovje in Dolenjska,834,412710,84,5
1903,Lovski vrh,Posavsko hribovje in Dolenjska,830,3450,38,2
1904,Dom na Zgornji Slivni,Posavsko hribovje in Dolenjska,826,292371,72,4
1905,Sveta Trojica (Čimerno),Posavsko hribovje in Dolenjska,825,392,18,3
1906,Planinski dom na Zasavski Sveti gori,Posavsko hribovje in Dolenjska,822,317151,75,8
1907,Planinski dom pri Gospodični,Posavsko hribovje in Dolenjska,822,508103,91,2
1908,Sedlata gorica (Pogorelec),Posavsko hribovje in Dolenjska,817,262051,70,1
1909,Govško brdo,Posavsko hribovje in Dolenjska,811,309681,74,6
1910,Brest (Bohor),Posavsko hribovje in Dolenjska,808,165167,60,8
1911,Veliki vrh nad Svetino,Posavsko hribovje in Dolenjska,807,272542,70,5
1912,Janče,Posavsko hribovje in Dolenjska,792,596690,95,6
1913,Pašnik Lipovec,Posavsko hribovje in Dolenjska,790,186479,62,1
1914,Baba (nad Rečico),Posavsko hribovje in Dolenjska,789,261824,69,2
1915,Sv. Jošt (pod vrhom Lisce),Posavsko hribovje in Dolenjska,787,507,20,6
1916,Dom na Šmohorju,Posavsko hribovje in Dolenjska,784,572640,94,8
1917,Kamen vrh,Posavsko hribovje in Dolenjska,783,338010,77,5
1918,Vrhe (pri Gorah),Posavsko hribovje in Dolenjska,781,724,24,3
1919,Vrunčev dom na Svetini,Posavsko hribovje in Dolenjska,780,303510,74,9
1920,Tolsto,Posavsko hribovje in Dolenjska,780,157868,59,1
1921,Obolno,Posavsko hribovje in Dolenjska,776,353564,78,4
1922,Limbarska gora,Posavsko hribovje in Dolenjska,773,614074,96,9
1923,Almin dom na Svetini,Posavsko hribovje in Dolenjska,772,477790,89,12
1924,Kotečnik,Posavsko hribovje in Dolenjska,772,360445,79,2
1925,Jasovnik,Posavsko hribovje in Dolenjska,764,4990,41,1
1926,Dom v Gorah,Posavsko hribovje in Dolenjska,762,391665,82,6
1927,Vrtače,Posavsko hribovje in Dolenjska,758,2872,36,2
1928,Tolsti vrh (nad Preboldom),Posavsko hribovje in Dolenjska,756,579,22,1
1929,Babni vrh,Posavsko hribovje in Dolenjska,753,2280,34,4
1930,Kucelj,Posavsko hribovje in Dolenjska,748,405161,83,3
1931,Sveti Ahac,Posavsko hribovje in Dolenjska,748,375272,80,2
1932,Sveti Ilija (Planina),Posavsko hribovje in Dolenjska,747,234588,67,1
1933,Murovica,Posavsko hribovje in Dolenjska,743,379457,81,8
1934,Zajčeva koča,Posavsko hribovje in Dolenjska,742,366000,80,2
1935,Kozice,Posavsko hribovje in Dolenjska,741,10870,45,2
1936,Sveti Miklavž nad Savo,Posavsko hribovje in Dolenjska,741,449182,87,4
1937,Žamboh,Posavsko hribovje in Dolenjska,738,2693,35,0
1938,Darinkino zavetišče na Ivcah,Posavsko hribovje in Dolenjska,735,462,20,2
1939,Tolsta gora,Posavsko hribovje in Dolenjska,734,10190,45,2
1940,Ciganov vrh (Korinjski hrib),Posavsko hribovje in Dolenjska,731,204234,64,1
1941,Sveti Križ (nad Planino pri Sevnici),Posavsko hribovje in Dolenjska,730,2230,33,2
1942,Markova glava (razgledna stena),Posavsko hribovje in Dolenjska,722,11480,45,1
1943,Kmečki turizem Obolno,Posavsko hribovje in Dolenjska,722,5020,41,2
1944,Sveti Lovrenc (nad vasjo Okroglice),Posavsko hribovje in Dolenjska,722,260007,69,3
1945,Leskovški hrib,Posavsko hribovje in Dolenjska,721,375,17,1
1946,Grmada nad Celjem,Posavsko hribovje in Dolenjska,718,529334,92,5
1947,Pokojni vrh (Bohor),Posavsko hribovje in Dolenjska,711,137613,57,1
1948,Mali vrh (Kamnik),Posavsko hribovje in Dolenjska,710,857,25,1
1949,Vetrnik,Posavsko hribovje in Dolenjska,709,6930,43,1
1950,Gradišče,Posavsko hribovje in Dolenjska,706,314172,75,1
1951,Veliki vrh (Orlica),Posavsko hribovje in Dolenjska,701,120,8,3
1952,Plezališče in ferata Renke,Posavsko hribovje in Dolenjska,700,23740,47,1
1953,Srebotnik,Posavsko hribovje in Dolenjska,700,438809,86,8
1954,Veliki vrh (nad Pišecami),Posavsko hribovje in Dolenjska,698,73,4,1
1955,Sveti Florjan (Zgornja Gora),Posavsko hribovje in Dolenjska,698,2650,35,3
1956,Gorišca,Posavsko hribovje in Dolenjska,698,1810,31,1
1957,Tabor,Posavsko hribovje in Dolenjska,697,2982,36,1
1958,Pristava nad Stično,Posavsko hribovje in Dolenjska,694,302200,73,2
1959,Bredič,Posavsko hribovje in Dolenjska,692,34,1,1
1960,Bavč,Posavsko hribovje in Dolenjska,692,3990,39,4
1961,Golčaj,Posavsko hribovje in Dolenjska,690,303150,73,4
1962,Limberk,Posavsko hribovje in Dolenjska,687,207718,64,1
1963,Plešivec (Rudnica),Posavsko hribovje in Dolenjska,686,736,24,8
1964,Veliki Špiček,Posavsko hribovje in Dolenjska,686,323634,76,3
1965,Sveti Križ (Slemšek),Posavsko hribovje in Dolenjska,680,1240,28,1
1966,Vrh (Šticna),Posavsko hribovje in Dolenjska,679,174740,61,1
1967,Žusem,Posavsko hribovje in Dolenjska,669,419708,84,10
1968,Stari grad (grad Čušperk),Posavsko hribovje in Dolenjska,668,245752,68,1
1969,Velika Vagla,Posavsko hribovje in Dolenjska,667,47,2,1
1970,Dom pod Reško planino,Posavsko hribovje in Dolenjska,664,342272,77,6
1971,Intermedija,Posavsko hribovje in Dolenjska,662,80,5,4
1972,Visoka špica,Posavsko hribovje in Dolenjska,660,309270,74,3
1973,Sveta Marjeta (Prežganje),Posavsko hribovje in Dolenjska,658,5925,42,1
1974,Dom Ušte - Žerenk,Posavsko hribovje in Dolenjska,658,413003,84,6
1975,Celjska koča,Posavsko hribovje in Dolenjska,652,656738,97,13
1976,Lovska koča pod Gozdnikom,Posavsko hribovje in Dolenjska,651,357,17,1
1977,Raskože (Bohor),Posavsko hribovje in Dolenjska,650,121244,56,1
1978,Resevna,Posavsko hribovje in Dolenjska,650,555874,94,8
1979,Stražnik,Posavsko hribovje in Dolenjska,648,3730,39,1
1980,Vrhija,Posavsko hribovje in Dolenjska,648,135124,57,1
1981,GEOSS,Posavsko hribovje in Dolenjska,645,409509,83,4
1982,Zabreznik (Sv. Miklavž),Posavsko hribovje in Dolenjska,644,130798,56,2
1983,Sveti Lambert,Posavsko hribovje in Dolenjska,643,151298,58,2
1984,Pastirska kapelica,Posavsko hribovje in Dolenjska,640,277,14,2
1985,Olimska gora,Posavsko hribovje in Dolenjska,631,479,20,1
1986,Sveti Duh (Polževo),Posavsko hribovje in Dolenjska,630,9870,45,2
1987,Veliki Bojanski vrh,Posavsko hribovje in Dolenjska,627,1770,31,4
1988,Žagarski vrh,Posavsko hribovje in Dolenjska,627,27750,48,1
1989,Rigelj,Posavsko hribovje in Dolenjska,626,52,2,2
1990,Kalanov hrib (Kalanček),Posavsko hribovje in Dolenjska,626,204886,64,2
1991,Veliki Cirnik,Posavsko hribovje in Dolenjska,623,54,2,1
1992,Silavec (Stolp zdravja in veselja na Rudnici),Posavsko hribovje in Dolenjska,622,2520,35,10
1993,Žvajga (severni vrh),Posavsko hribovje in Dolenjska,620,673,23,2
1994,Pečovniška koča na Grmadi,Posavsko hribovje in Dolenjska,620,368276,80,6
1995,Lendrše,Posavsko hribovje in Dolenjska,617,159,10,5
1996,Vinski vrh,Posavsko hribovje in Dolenjska,616,324,16,1
1997,Pugled,Posavsko hribovje in Dolenjska,615,342746,77,3
1998,Kerinov spomenik,Posavsko hribovje in Dolenjska,614,80,5,4
1999,Bajturn (Zaplaški hrib),Posavsko hribovje in Dolenjska,609,4860,41,8
2000,Lomnik,Posavsko hribovje in Dolenjska,609,111986,54,0
2001,Veliki Slomnik,Posavsko hribovje in Dolenjska,609,298884,73,6
2002,Dragov dom na Homu,Posavsko hribovje in Dolenjska,607,395225,82,6
2003,Gradišče nad Ilovo Goro,Posavsko hribovje in Dolenjska,601,1040,27,1
2004,Mali Bojanski vrh,Posavsko hribovje in Dolenjska,600,935,26,5
2005,Sveti Štefan (Turje),Posavsko hribovje in Dolenjska,598,650,23,1
2006,Hotel Polževo,Posavsko hribovje in Dolenjska,592,12590,46,1
2007,Semenič,Posavsko hribovje in Dolenjska,590,123292,56,1
2008,Sv. Valentin in sv. Jakob (Dobrina),Posavsko hribovje in Dolenjska,585,138,10,1
2009,Dom na Bukovici,Posavsko hribovje in Dolenjska,584,365587,80,4
2010,Hum nad Laškim,Posavsko hribovje in Dolenjska,583,49200,48,2
2011,Trebni vrh,Posavsko hribovje in Dolenjska,581,240754,67,6
2012,Lovski bivak na Olimski gori,Posavsko hribovje in Dolenjska,580,196,12,1
2013,Zavetišče Šmarnica na Mali Rudnici,Posavsko hribovje in Dolenjska,577,948,26,5
2014,Stari grad Kamnik,Posavsko hribovje in Dolenjska,577,338686,77,2
2015,Mehovski hrib,Posavsko hribovje in Dolenjska,571,400652,83,5
2016,Hom nad Celjem,Posavsko hribovje in Dolenjska,570,330500,76,4
2017,Grmadnik,Posavsko hribovje in Dolenjska,569,2520,35,1
2018,Rifnik,Posavsko hribovje in Dolenjska,568,396318,82,4
2019,Grad Gamberk,Posavsko hribovje in Dolenjska,567,409,18,2
2020,Resje nad Štorami,Posavsko hribovje in Dolenjska,567,255464,69,4
2021,Lovski dom na Govcah,Posavsko hribovje in Dolenjska,565,433,19,4
2022,Lisec (Liška gora),Posavsko hribovje in Dolenjska,565,185332,62,1
2023,Lovski dom na Vrhtrebnjem,Posavsko hribovje in Dolenjska,562,232727,67,4
2024,Španov vrh (Besnica),Posavsko hribovje in Dolenjska,559,1200,28,1
2025,Lovski dom pod Golavo,Posavsko hribovje in Dolenjska,556,348,17,1
2026,Sv. Lenart (Zabukovje nad Sevnico),Posavsko hribovje in Dolenjska,555,130,9,1
2027,Pri knapu pod Babo,Posavsko hribovje in Dolenjska,552,190217,62,3
2028,Zmajevo jezero na Olimski gori,Posavsko hribovje in Dolenjska,550,510,20,1
2029,Smuk,Posavsko hribovje in Dolenjska,545,209688,64,2
2030,Zaplaz,Posavsko hribovje in Dolenjska,543,5980,42,3
2031,Gradiše (nad Štorami),Posavsko hribovje in Dolenjska,540,626,23,1
2032,Kožljevec,Posavsko hribovje in Dolenjska,533,756,24,1
2033,Vipota,Posavsko hribovje in Dolenjska,532,217362,65,3
2034,Debenji vrh,Posavsko hribovje in Dolenjska,530,486834,90,6
2035,Cerkev sv. Helene na Javorju,Posavsko hribovje in Dolenjska,528,271,14,2
2036,Sveta Trojica (nad Dobom),Posavsko hribovje in Dolenjska,527,8361,44,4
2037,Svete gore,Posavsko hribovje in Dolenjska,527,284819,72,8
2038,Kamčič,Posavsko hribovje in Dolenjska,525,2260,34,3
2039,Sv. Peter (Olešče),Posavsko hribovje in Dolenjska,525,193584,63,2
2040,Ostri vrh (nad Globodolom),Posavsko hribovje in Dolenjska,523,3132,37,3
2041,Strešni vrh (Svibno),Posavsko hribovje in Dolenjska,523,183598,62,2
2042,Grad Turjak,Posavsko hribovje in Dolenjska,522,266141,70,3
2043,Sv. Križ (Retje),Posavsko hribovje in Dolenjska,520,170085,60,6
2044,Sveta Katarina (Zavrate),Posavsko hribovje in Dolenjska,518,205,12,1
2045,Turn (Sv. Janez Krstnik),Posavsko hribovje in Dolenjska,513,260726,69,5
2046,Sveti Mohor na Mohorjevem hribu,Posavsko hribovje in Dolenjska,511,7710,44,3
2047,Lovski dom na Klančišah,Posavsko hribovje in Dolenjska,510,1100,27,2
2048,Lavričeva koča na Gradišču,Posavsko hribovje in Dolenjska,510,507722,91,2
2049,Grad Žusem,Posavsko hribovje in Dolenjska,509,205,12,1
2050,Sveti Lenart (Kandrše),Posavsko hribovje in Dolenjska,508,740,24,1
2051,Grad Višnja Gora (Stari grad),Posavsko hribovje in Dolenjska,506,4240,40,1
2052,Magdalenska gora,Posavsko hribovje in Dolenjska,504,356739,79,1
2053,Kapelica pri Mariji pod Srebotnikom,Posavsko hribovje in Dolenjska,500,1510,30,2
2054,Svinjski rt,Posavsko hribovje in Dolenjska,497,828,25,1
2055,Ajdovščina nad Ihanom,Posavsko hribovje in Dolenjska,495,6737,43,1
2056,Tabor Cerovo,Posavsko hribovje in Dolenjska,493,3740,39,3
2057,Sveti Mihael (Križate),Posavsko hribovje in Dolenjska,491,525,21,1
2058,Rudniško jezero,Posavsko hribovje in Dolenjska,490,7142,43,1
2059,Špicberg,Posavsko hribovje in Dolenjska,490,211412,64,2
2060,Gradiški grič,Posavsko hribovje in Dolenjska,485,2700,35,2
2061,Sv. Janez Krstnik (Razbor),Posavsko hribovje in Dolenjska,479,272,14,1
2062,Grad Podsreda,Posavsko hribovje in Dolenjska,475,2170,33,4
2063,Oklo nad Ihanom,Posavsko hribovje in Dolenjska,465,4600,40,4
2064,Sveti Primož in Felicijan nad Semičem,Posavsko hribovje in Dolenjska,465,123490,56,1
2065,Vzletišče Peter (Straška gora),Posavsko hribovje in Dolenjska,464,1770,31,1
2066,Orle,Posavsko hribovje in Dolenjska,458,87477,52,5
2067,Planinski dom na Brnici,Posavsko hribovje in Dolenjska,457,364180,79,4
2068,Lazarjev vrh,Posavsko hribovje in Dolenjska,452,707,24,1
2069,Grad Rifnik (Raicheneck),Posavsko hribovje in Dolenjska,450,457,20,1
2070,Mazovnik (Golovec),Posavsko hribovje in Dolenjska,450,422282,84,5
2071,Sitarjevec,Posavsko hribovje in Dolenjska,448,204097,64,2
2072,Sveti Peter (Selo pri Mirni),Posavsko hribovje in Dolenjska,445,2528,35,2
2073,Murjevka,Posavsko hribovje in Dolenjska,443,678,23,1
2074,Stari grad (Stari Osterberg),Posavsko hribovje in Dolenjska,443,225906,66,4
2075,Cerkev sv. Mihaela na Šmihelu,Posavsko hribovje in Dolenjska,442,914,26,2
2076,Dom LD Dobrnič,Posavsko hribovje in Dolenjska,440,1630,30,3
2077,Črni hrib (Golovec),Posavsko hribovje in Dolenjska,440,274111,71,5
2078,Velika Radenska stena,Posavsko hribovje in Dolenjska,439,1650,31,1
2079,Luknje,Posavsko hribovje in Dolenjska,438,853,25,1
2080,Gašperjeva koča pod Velikim Kozjem,Posavsko hribovje in Dolenjska,436,273007,71,1
2081,Gradišče (nad Slivniškim jezerom),Posavsko hribovje in Dolenjska,433,327,16,2
2082,Dežnikarjeva lipa,Posavsko hribovje in Dolenjska,431,194,12,1
2083,Županova jama,Posavsko hribovje in Dolenjska,430,722,24,2
