gora_id,ime,cas,zahtevnost
72,Predmeja - Sinji vrh (Pot po Robu),175,lahka označena pot
72,Col - Sinji vrh (čez Črne stene),205,lahka označena pot
72,Col - Sinji vrh (zahodna pot),190,lahka označena pot
72,Col - Sinji vrh (vzhodna pot mimo škrapelj),200,lahka označena pot
72,Lovska koča Budanje - Sinji vrh (vzhodna pot mimo škrapelj),190,lahka označena pot
72,Lovska koča Budanje - Sinji vrh (zahodna pot),180,lahka označena pot
72,Jamce - Sinji vrh (vzhodna pot mimo škrapelj),175,lahka označena pot
72,Jamce - Sinji vrh (zahodna pot),165,lahka neoznačena steza
73,Lovski dom pod Glavico - Grmada pri Slavniku,140,lahka neoznačena steza
73,Prešnica - Grmada pri Slavniku,110,lahka neoznačena steza
73,Povžane - Grmada pri Slavniku (čez planino Jegno),140,lahka neoznačena steza
73,Skadanščina - Grmada pri Slavniku (čez planino Jegno),135,lahka neoznačena steza
73,Povžane - Grmada pri Slavniku,135,lahka neoznačena steza
73,Skadanščina - Grmada pri Slavniku (mimo planine Jegno),130,lahka neoznačena steza
74,Rakitna - Županov vrh (vzhodna pot),35,lahka neoznačena steza
74,Brancljeva senožet - Županov vrh,50,lahka neoznačena steza
74,Rakitna - Županov vrh (zahodna pot),35,lahka neoznačena steza
74,Mesnice - Županov vrh,60,lahka neoznačena steza
74,Rakitna - Županov vrh (čez Reber),50,lahka neoznačena steza
74,Mesnice - Županov vrh (čez Reber),45,lahka neoznačena steza
75,Zabočevo - Novaška gora,120,lahka neoznačena steza
76,Jablanica - Koča na Kozleku,105,lahka označena pot
76,Vrbiški dol - Koča na Kozleku,60,lahka označena pot
76,Trpčane - Koča na Kozleku,105,lahka označena pot
77,Col - Špiček (Špečk),55,lahka neoznačena steza
77,Col - Špiček (Špečk) (čez Križno goro),70,lahka neoznačena steza
77,Cenc - Špiček (Špečk),45,lahka označena pot
78,Vitovlje (Križišče) - Lovsko zavetišče pod Čavnom,110,lahka neoznačena steza
79,Kamenščina - Volovja reber,60,lahka neoznačena steza
80,Strane - Sveti Bric (Nanos),50,lahka označena pot
80,Veliko Ubeljsko - Sveti Bric (Nanos),90,lahka neoznačena steza
81,Rakitna - Rotovc,30,lahka označena pot
81,Brancljeva senožet - Rotovc,45,lahka označena pot
81,Mesnice - Rotovc,55,lahka označena pot
81,Mesnice - Rotovc (čez Županov vrh),75,lahka neoznačena steza
